order_id,product_id,quantity,unit_price,total_price
,P00290,NULL,N/A,not_a_date
O0000104,P00064,1,2014.86,2014.86
O0000105,,null,4041.12,4041.12
O0000105,null,9999-99-99,32-13-2025,null
O0000106,P00035,2,4178.84,8357.68
NULL,P00253, ,1937.79,1937.79
O0000108,not_a_date, ,9999-99-99,3983.38
nan,P00034,1,1049.5,1049.5
O0000109,P00226,1,3681.32,3681.32
O0000110,P00198,32-13-2025,nan,9999-99-99
,P00046,1,1413.3,nan
32-13-2025,P00245,1,329.35,329.35
null,invalid,NULL,1647.12,nan
O0000113,P00124,1,1095.39,1095.39
O0000114,invalid,nan,320.1, 
O0000114,123abc,123abc,3387.51,3387.51
O0000115,P00073,1, ,123abc
O0000116,P00010,1,N/A,1226.75
not_a_date,123abc,2,123abc,608.18
O0000117,@@@,@@@,3368.16,not_a_date
O0000117,not_a_date,1,474.25,invalid
@@@,P00288,1,2333.26,2333.26
invalid,9999-99-99,invalid,4084.07,9999-99-99
N/A,###BAD###,N/A,1813.37,nan
O0000120,P00090,1,3475.88,###BAD###
O0000121,invalid,@@@,300.27,300.27
O0000121,P00125,N/A,886.47,886.47
9999-99-99,123abc,1,3102.54,3102.54
invalid, ,null,2691.87,2691.87
O0000123,P00117, ,619.39,619.39
O0000124,nan, ,4380.25,invalid
NULL,P00034,9999-99-99,32-13-2025,not_a_date
32-13-2025,P00141, ,1433.52,1433.52
nan,invalid,nan,2511.3,2511.3
 ,P00278,1, ,3402.58
O0000128,P00166,###BAD###,984.92,not_a_date
O0000128,P00064, ,1712.63,1712.63
O0000129,32-13-2025, , ,3717.68
null,P00159,1,,4021.21
O0000131,9999-99-99,1,invalid,3447.27
O0000132,P00258,1,,1471.99
###BAD###,P00133,###BAD###,1178.43,N/A
 ,NULL, ,1601.4,4804.2
O0000135,invalid,1,1383.5,###BAD###
O0000135,P00273,1,2747.25,32-13-2025
,P00250,1,not_a_date,32-13-2025
32-13-2025,P00079,1,2501.73,not_a_date
O0000138,P00211,1,1044.4,1044.4
O0000138,P00195,1,null,2312.38
O0000139,P00050,1,9999-99-99,4490.31
O0000140,###BAD###,@@@,3849.27,3849.27
O0000140,P00085,1,null, 
123abc,123abc,1,185.88,185.88
O0000141,invalid,1,123abc,1803.9
NULL,###BAD###,1,@@@,123abc
invalid,P00032,1,123abc,4376.0
N/A,P00102,nan,not_a_date,123abc
123abc,P00136,null,3737.83,32-13-2025
O0000144,P00054,3,not_a_date,9999-99-99
O0000145,P00285,,NULL,not_a_date
O0000146,P00259,not_a_date,746.81,746.81
123abc,,@@@,4114.04,32-13-2025
O0000148,P00182,1,4817.7,9999-99-99
O0000149,null,1,3706.29,3706.29
32-13-2025, ,1,2552.56,2552.56
O0000151,P00232,1,invalid,3950.5
O0000151,N/A,###BAD###,1581.11,NULL
O0000152,P00212,###BAD###, ,6207.72
O0000153,P00170,1,667.96,667.96
not_a_date,###BAD###,9999-99-99,###BAD###,
@@@,P00019,1,32-13-2025,1886.55
O0000155,@@@,1,3602.1,9999-99-99
nan,P00246, , ,not_a_date
O0000156,P00122,2,3386.76,6773.52
O0000157,P00245,1,348.72,null
O0000158, ,1,N/A,1297.18
9999-99-99,P00039,1,9999-99-99,N/A
O0000159,P00061,invalid,not_a_date,nan
O0000160,123abc,123abc,1529.62,1529.62
###BAD###,P00273,1,3052.5,3052.5
@@@,P00033,NULL,248.19,496.38
 ,###BAD###,123abc,3541.1,N/A
O0000163,P00123,1,144.67,144.67
###BAD###, ,1,984.92,not_a_date
O0000165,P00102,nan,4452.66,123abc
O0000166,P00130,2,1932.26,null
123abc,,1, ,32-13-2025
O0000167,P00216,nan,2427.83,4855.66
123abc,P00058,2,374.8,@@@
O0000169,123abc,N/A,3134.52,3134.52
nan,P00254,1,1960.09,NULL
O0000171,nan,3,155.06,465.18
O0000172, ,1, ,483.23
O0000173,@@@,1,301.84,123abc
@@@,P00263,1,,not_a_date
O0000175,P00156,1,2935.61,2935.61
O0000176, ,32-13-2025,2509.62,2509.62
,P00219,invalid,null,2241.88
nan,P00158,nan,507.04,not_a_date
O0000179,32-13-2025,2,3826.45,7652.9
O0000179,P00053,1,4872.39,4872.39
O0000180,not_a_date,1,, 
O0000181,P00185,1,3887.5,not_a_date
nan,123abc,32-13-2025,3327.14,nan
O0000183,P00086,1,2050.29, 
 , ,1,468.22,
###BAD###,123abc,1,490.7,not_a_date
O0000184,NULL,3,not_a_date,8027.91
invalid,,1,3464.34,3464.34
O0000186,P00204, ,,7512.88
N/A,P00020,1,32-13-2025,NULL
@@@,invalid,NULL,3559.11,3559.11
O0000188,P00127,9999-99-99,2821.07,2821.07
invalid,,123abc,1700.85,1700.85
O0000190,P00178,nan,###BAD###,3861.11
O0000191,P00041,1,nan,123abc
O0000192,###BAD###,9999-99-99,32-13-2025,2982.73
O0000192,P00037,1,1664.33,nan
null,P00176,1,1943.91,1943.91
O0000193,123abc,1,2035.04,2035.04
nan,N/A,1,1386.39,###BAD###
O0000195,P00200,1,2649.05,
O0000196,###BAD###,2,1771.56,###BAD###
O0000197,P00291,1,1726.94, 
nan,@@@,1,NULL,not_a_date
O0000198,P00016,1,2394.17,32-13-2025
9999-99-99,P00069,not_a_date,185.88,N/A
O0000199,32-13-2025,1,3983.38,3983.38
O0000199,P00066,1,789.68,789.68
nan,9999-99-99,1,1226.75,1226.75
O0000200,P00091,null,3274.91,32-13-2025
O0000201,@@@,1,2773.29, 
 ,P00065, ,1247.59,NULL
,123abc,1,123abc,123abc
O0000204,P00007,null,2903.41,32-13-2025
O0000204,P00236,not_a_date,975.53,975.53
O0000205,N/A,1,4053.11,9999-99-99
O0000206,N/A,9999-99-99,4866.94,4866.94
invalid,P00182,not_a_date,4817.7,123abc
9999-99-99,P00122,null, ,null
 , ,1,1484.55,1484.55
O0000210,NULL,1,###BAD###,@@@
O0000211,P00122,1, ,3386.76
O0000212,P00213,2,32-13-2025,8342.94
123abc,nan,1,3496.93,3496.93
NULL,P00078,###BAD###,3402.12,###BAD###
123abc,nan,1,943.68,943.68
not_a_date,9999-99-99,32-13-2025,3465.02,3465.02
123abc, ,1,@@@,123abc
O0000217, ,32-13-2025,975.53,N/A
O0000218,32-13-2025,123abc,32-13-2025,32-13-2025
O0000218,P00073,1,2396.78,2396.78
null,P00144,1,379.34,379.34
123abc,null,NULL,3219.61,3219.61
O0000220,NULL,2,4074.53,32-13-2025
O0000221,9999-99-99,2,4314.38,123abc
O0000222,123abc,1,1038.76,not_a_date
###BAD###,NULL, ,1357.42,###BAD###
O0000224,,@@@,2008.27,###BAD###
O0000225,P00165,1,invalid,3464.34
9999-99-99,nan,1,###BAD###,123abc
9999-99-99,not_a_date,1,null,209.92
O0000227,P00221,1,3198.91,3198.91
O0000227,P00224,1,,null
@@@,123abc,@@@,9999-99-99,176.18
null, ,1,3295.02,N/A
null,32-13-2025,1,4628.39,4628.39
123abc,P00220,1,not_a_date,312.67
O0000231,###BAD###,invalid,3443.81,3443.81
O0000231,not_a_date,###BAD###,,
O0000232,P00253,1,1744.01,null
O0000233, ,1,2671.89,2671.89
O0000234,@@@,N/A,3763.07,3763.07
O0000235,P00288,1, ,null
123abc,P00298,,123abc,null
O0000236,nan,1,###BAD###,nan
O0000237,,1,1383.63,1383.63
O0000238,P00242,9999-99-99, ,4223.54
O0000239,invalid,3,invalid,7398.12
@@@,P00014,123abc,2427.63,9999-99-99
32-13-2025,P00170,1,785.84,785.84
O0000241,32-13-2025,not_a_date,null,275.31
O0000242,P00252,2,@@@,2513.88
O0000242,P00145,1,nan,N/A
O0000242, ,1,1176.09,1176.09
O0000243,P00227,N/A,1974.99,nan
invalid,P00071,9999-99-99,2766.35,2766.35
9999-99-99,P00190,1,,2761.07
9999-99-99,P00005,1,1636.72,1636.72
N/A,P00076,2,null,3651.32
9999-99-99,P00096,32-13-2025,3826.45,11479.35
@@@,null,1,invalid,4193.03
invalid,,1, ,N/A
O0000248,N/A,1,3558.56,NULL
O0000248,###BAD###,2,invalid,7247.96
O0000249,N/A,1,3193.76,3193.76
O0000249,32-13-2025,1,invalid,2063.66
O0000249,,1,,invalid
null,P00163,2,2231.41,4462.82
O0000250,P00280,N/A, ,674.82
O0000251,P00086,32-13-2025,nan,2050.29
 ,P00213,1,123abc,4416.85
nan,P00226,null,invalid,not_a_date
NULL,N/A,invalid,null,690.56
@@@,P00107,1,3905.76,3905.76
32-13-2025,9999-99-99,1,2960.51,32-13-2025
123abc,P00165,1,9999-99-99,not_a_date
not_a_date,P00181,2,2352.83, 
123abc,P00267,1,4103.44,###BAD###
O0000258,@@@,2,###BAD###,1994.04
O0000259,P00110,1,2902.58,2902.58
 ,9999-99-99,2,690.56,1381.12
O0000261,9999-99-99,1,288.76,not_a_date
O0000262,P00031,1, ,4511.37
O0000262,P00145,1,3239.47,3239.47
123abc,P00126,NULL,1907.2,null
N/A,P00233,N/A,3219.61,3219.61
O0000264,P00110,1,2902.58,9999-99-99
O0000265,P00179,123abc,123abc,null
###BAD###,P00043,1,3939.44,3939.44
NULL,P00116,9999-99-99,994.52,994.52
O0000266,P00256,3,@@@,N/A
N/A,P00254,nan,1764.08, 
@@@,P00253,1,1744.01,123abc
O0000268,P00118,3, ,
O0000269,P00062,1,300.27,@@@
O0000270,not_a_date,1,4335.93,32-13-2025
invalid,P00206,1, ,###BAD###
O0000271,NULL,1,null,3675.66
O0000272,P00021,NULL,1353.83,32-13-2025
O0000272,,1,2571.8,nan
O0000273, , ,32-13-2025,not_a_date
O0000273,P00294,null,3314.14,3314.14
nan,P00051,1,1350.82,###BAD###
O0000274,P00074,9999-99-99,2874.37,5748.74
NULL,P00006,1,3183.57,###BAD###
not_a_date,P00098,@@@,3733.84,7467.68
O0000277,,9999-99-99,3258.31,nan
O0000277,P00135,1,3607.89,nan
O0000278,P00065,1,1122.83,1122.83
O0000279,P00022,not_a_date,301.84,null
O0000279,,1,3193.76,3193.76
O0000280,###BAD###,,9999-99-99,293.99
,not_a_date,32-13-2025,9999-99-99,506.33
123abc,P00061,1,3773.73,123abc
9999-99-99,nan,not_a_date,1876.24,123abc
@@@,123abc,nan,3901.46,3901.46
O0000283,P00136,nan,3344.38,9999-99-99
O0000284,P00232, ,3534.66,3534.66
O0000285,not_a_date,3,3002.03,9006.09
null,P00298,1,9999-99-99,123abc
O0000287,P00051,1,1509.74,NULL
O0000288,###BAD###,not_a_date,3733.84,3733.84
O0000289,N/A,1,null,###BAD###
not_a_date,P00298,N/A,1277.61,N/A
O0000291,P00155,1,3118.52,3118.52
O0000292,P00135,1,3066.71,123abc
O0000293,P00235,N/A,1355.56,@@@
@@@,P00056,32-13-2025,not_a_date,N/A
O0000294,P00250,1,525.19,525.19
 ,P00002,1,1383.5,1383.5
O0000296,P00250,1,9999-99-99,
###BAD###,P00118,NULL,1487.01,2974.02
O0000297,P00166,1,1042.86,1042.86
O0000298,P00079,1,null,2648.89
O0000299,invalid,1,###BAD###,null
O0000300,P00264,1,142.44,142.44
32-13-2025,not_a_date, ,3826.45, 
@@@,P00104,nan,693.46,693.46
O0000303,P00235,32-13-2025,1430.87,@@@
O0000304,null,N/A,1361.19,1361.19
O0000305,P00044,1,null, 
invalid,P00030,1,123abc,3233.61
O0000306,P00213,not_a_date,4907.61,null
O0000306,@@@,1,,@@@
O0000306,P00109,1,@@@,1403.96
O0000307,P00276,NULL,3746.43,3746.43
O0000308,P00006,1,null,3006.7
O0000309,P00030,NULL,3403.8,
 ,32-13-2025,1,NULL,123abc
9999-99-99,P00057,1,invalid,3702.64
O0000311,P00098,1,3360.46,3360.46
O0000312,P00044,null,4395.57,N/A
O0000313,P00242,1,4223.54,4223.54
NULL,123abc, ,nan,4830.87
###BAD###, ,1,2427.83,2427.83
###BAD###,P00134,@@@,2123.19,2123.19
O0000315,P00035,1,@@@,3552.01
@@@,P00174,1,1637.14,not_a_date
###BAD###,N/A,1,1974.99,1974.99
O0000317,P00067,9999-99-99,###BAD###,2779.1
not_a_date,null,1,463.44,463.44
###BAD###,P00104,1,729.96,729.96
O0000320,N/A,1,1038.76,1038.76
O0000321,123abc,1,4377.0,4377.0
O0000322,9999-99-99,1,not_a_date,3681.32
O0000322,P00055,1,980.28,980.28
@@@,P00107,2,3905.76,7811.52
O0000324,P00064,1,null,1813.37
O0000325,9999-99-99,1,null,3885.1
nan,P00209,2,1453.14,2906.28
O0000325,P00101,1,2630.29,2630.29
O0000326,invalid,1,1697.89,1697.89
null,P00055,1,833.24,32-13-2025
@@@,123abc,1,nan,1526.1
O0000328,P00108,1,,1521.33
O0000329,P00135,32-13-2025,3427.5,10282.5
NULL,invalid,1,4237.77,@@@
invalid, ,1,2880.88, 
O0000332,P00112,9999-99-99,invalid,32-13-2025
O0000332,P00066,1,836.14,836.14
O0000333,P00030,1,3063.42,3063.42
O0000334,@@@, ,1910.87,1910.87
O0000335,nan,1,32-13-2025,@@@
O0000336,9999-99-99,1,nan,
O0000337,123abc,1,4619.11,4619.11
O0000337,P00206,2,1404.3,2808.6
O0000338,P00261,1,3368.16,N/A
O0000338,N/A,1,null,2405.43
O0000339,###BAD###,2,not_a_date,4809.66
O0000340,P00241,123abc,4182.04,4182.04
O0000341,P00024,1,1784.35,123abc
O0000342,P00066,nan,882.59,882.59
O0000343,P00193,32-13-2025,550.49,###BAD###
O0000344,P00206,1,@@@,@@@
O0000345,P00025,1,2650.81,2650.81
O0000346,not_a_date,@@@,502.27,502.27
O0000347,P00235,1,,1355.56
@@@,P00178,null,null,4290.12
O0000349,P00186,1,123abc,2540.47
N/A,123abc,1,@@@,896.99
O0000351,9999-99-99,1,32-13-2025,2291.59
O0000352,P00218,@@@,###BAD###,###BAD###
O0000352,P00171,null,272.08,272.08
9999-99-99,P00299,invalid,3736.2,@@@
O0000354,NULL,9999-99-99,105.62,211.24
nan,###BAD###,1,123abc,not_a_date
invalid,P00258,nan,1390.22,1390.22
9999-99-99,P00275,1,NULL,2276.43
O0000358,P00029,invalid,2281.86,2281.86
O0000359,N/A,3,###BAD###,13234.95
O0000359,32-13-2025,2,2031.24,###BAD###
,P00103,nan,123abc,NULL
O0000361,P00287,1,4264.37,NULL
9999-99-99,P00046,32-13-2025,1413.3,1413.3
not_a_date,P00222,1,###BAD###,2917.86
O0000364,P00221,9999-99-99,3387.08,3387.08
123abc,P00252,NULL,not_a_date,
NULL,P00277,1,1510.14,nan
O0000366,nan,@@@,3122.33,@@@
O0000367,P00082,1,NULL,1457.41
O0000367,P00242,1,3801.19,3801.19
O0000367, ,not_a_date,4041.28,4041.28
O0000368,nan, ,invalid,9999-99-99
O0000368,P00149,1,494.23,494.23
O0000369,P00033,1,NULL,261.25
invalid,P00174,NULL,NULL,1637.14
O0000371,P00007,1,@@@,3056.22
O0000372,P00269,32-13-2025,nan,1879.13
 ,P00150,1,97.88,97.88
O0000374,P00007,1,3056.22,not_a_date
O0000375,P00244,1,2518.17,
O0000376,nan,9999-99-99,not_a_date,647.69
O0000377,P00199,3, ,32-13-2025
O0000377,P00143,not_a_date,748.86,748.86
NULL,P00193,,579.46,579.46
###BAD###,9999-99-99,32-13-2025,3078.02,123abc
123abc,P00181,1,NULL,2768.04
O0000380,32-13-2025,1,884.14,884.14
32-13-2025,P00117,123abc,653.8,
O0000382,P00181,1,2768.04,2768.04
O0000383,@@@,,9999-99-99,32-13-2025
@@@,P00175,1,254.35,254.35
O0000384,P00194,null,647.69,647.69
@@@,P00020,123abc,2256.59,2256.59
O0000385,P00232,9999-99-99,123abc,null
O0000386,N/A,1,3956.01,3956.01
O0000386,invalid,1,949.75,949.75
NULL,P00138,2,4623.59,9247.18
not_a_date,P00143,1,null,123abc
O0000389,@@@,1,3977.41,3977.41
9999-99-99,nan,1,4789.09,4789.09
O0000390,invalid,nan,3598.39,3598.39
O0000390,P00069,1,,176.59
O0000391,P00069,3,,NULL
O0000391,nan,1,1247.75,1247.75
O0000391,32-13-2025,###BAD###,###BAD###,2607.42
@@@,invalid,1, ,192.64
O0000393,P00034,123abc,997.02,N/A
null,N/A,1,###BAD###,32-13-2025
O0000394,123abc,1,9999-99-99,###BAD###
O0000395,P00236,1,926.75,926.75
O0000396,P00217,1,9999-99-99,
O0000396,P00009,1,invalid,2075.94
O0000397,null,2,582.92, 
O0000397,N/A,,1565.27,32-13-2025
O0000398,123abc,1,N/A,@@@
O0000399,@@@,32-13-2025,null,9999-99-99
O0000399,null,1,926.75,926.75
invalid,P00001,,123abc,
@@@,P00274,not_a_date,NULL,1841.1
invalid,invalid,not_a_date,2634.63,N/A
 ,P00082,null,1714.6,5143.8
9999-99-99,P00201,1,2318.48,invalid
O0000403,P00195,32-13-2025,2312.38,4624.76
null,P00192,1,4118.1,4118.1
O0000404,nan,1,586.98,invalid
N/A,P00099,1,1700.85,9999-99-99
O0000406,P00284,123abc,NULL,755.15
 ,P00200,1,2788.47,2788.47
N/A,9999-99-99,not_a_date,N/A,null
N/A,P00052,1,4377.47,4377.47
O0000409,P00147,,4377.0,4377.0
O0000409,P00191,2,235.11,null
O0000410,P00160,invalid,3076.05,3076.05
O0000411,P00049,1,264.59,nan
O0000412,P00054,2,1314.45,nan
O0000412,P00292,1,517.96,517.96
O0000412,nan,9999-99-99,N/A,NULL
123abc,P00072,N/A,3275.36,32-13-2025
O0000413,###BAD###,2,1497.9,2995.8
O0000413,P00126,1,nan,1907.2
@@@,P00285,,N/A,@@@
O0000415,P00221,1, ,@@@
123abc,###BAD###,1,not_a_date,613.25
O0000417,P00196,2,495.92,991.84
O0000418,P00016,3,2274.46,###BAD###
O0000419,,1,4527.26,@@@
O0000420,P00135, ,3607.89,
nan,null,###BAD###,invalid,32-13-2025
32-13-2025,P00183,1,9999-99-99,NULL
O0000421,32-13-2025, ,123abc,842.15
O0000422,P00181,1,2768.04,2768.04
invalid,P00153,1,4084.07,4084.07
O0000423,P00292,1,517.96,517.96
O0000424,invalid,1,NULL,nan
O0000425,P00197,1,,9999-99-99
O0000426,9999-99-99,123abc,946.62,N/A
@@@,P00057,123abc,4114.04,4114.04
O0000428,P00288,###BAD###,nan,2216.6
not_a_date,P00036,1,NULL,480.79
O0000429,@@@,1,183.01,183.01
O0000430,P00063,invalid,null,null
32-13-2025,P00145,9999-99-99,3239.47, 
O0000432,NULL,1,NULL,32-13-2025
O0000432,null,not_a_date,1361.19,invalid
9999-99-99,null,nan,2812.52,@@@
O0000434,P00065,2,1247.59,2495.18
 ,,1,not_a_date,@@@
O0000436,P00131,1,,3524.25
nan,P00114,1,4752.84,32-13-2025
,P00247,N/A,9999-99-99,1030.44
O0000438,P00100,123abc,3623.98,3623.98
O0000438,NULL,1,3545.5,32-13-2025
O0000439,invalid,not_a_date,1402.4,1402.4
O0000439,P00091,null,3274.91,6549.82
O0000440,P00169,1,@@@,2191.99
O0000441,invalid,1,521.45,123abc
O0000442,P00027,N/A, ,invalid
O0000442,not_a_date,invalid,3500.38,3500.38
nan,not_a_date,1,###BAD###,2441.24
O0000443, ,1,invalid,1543.14
32-13-2025,invalid, ,3827.93, 
nan,NULL,1,nan,1974.99
O0000445,null,1,1558.22,1558.22
O0000446,P00216,1,null,2427.83
O0000446,,1,nan, 
O0000447,123abc, ,9999-99-99,2915.52
N/A,9999-99-99,32-13-2025,,2023.86
O0000447,###BAD###,1,1383.63,32-13-2025
N/A,###BAD###,1,2390.64,###BAD###
O0000448,invalid,1,1226.75,###BAD###
32-13-2025,P00269, ,1780.23,1780.23
O0000450,P00153,1,,3879.87
32-13-2025,123abc,123abc,3934.13,7868.26
O0000451,P00087,1,3620.35,9999-99-99
N/A,P00068,nan,,@@@
###BAD###,P00104,nan,not_a_date,N/A
O0000454,nan,9999-99-99,32-13-2025,9999-99-99
O0000454,P00237,1,640.8,640.8
O0000455,123abc,1,NULL,null
NULL,null,1,3700.57,3700.57
O0000457,P00045,1,2593.37,###BAD###
N/A,P00050,1,4490.31,invalid
32-13-2025,P00059,nan,685.4,1370.8
nan,P00192,@@@,4118.1,4118.1
O0000461,P00149,32-13-2025,,494.23
nan,P00148,1,NULL,3616.11
O0000463,P00249, ,,2675.97
O0000463,null,1,32-13-2025,1938.0
O0000464,NULL,not_a_date,245.45,245.45
O0000465,N/A,1,261.25,261.25
O0000465,P00057,1,3702.64,3702.64
O0000465,P00044,1,4175.79,4175.79
 ,P00192,@@@,@@@,null
O0000467,P00210,1,not_a_date,32-13-2025
 ,9999-99-99,###BAD###, ,3360.46
O0000468,P00148,1,123abc,4017.9
O0000469,32-13-2025,null,2046.22,2046.22
O0000470,P00290,1,3641.67,123abc
 ,P00011,1,NULL,524.78
O0000470,nan,@@@,nan,297.04
32-13-2025,invalid,1,@@@,886.47
O0000472,P00243,1,2773.29,invalid
O0000472,P00219,NULL,2505.63,2505.63
O0000472,P00167,1,2619.54, 
O0000473,P00156,invalid,2772.52,2772.52
O0000474,P00026,1,2122.23,2122.23
not_a_date,P00194,1,9999-99-99,
O0000475,9999-99-99,1,2552.92,2552.92
O0000476,P00034,1,nan,1049.5
O0000476,not_a_date,2,123abc,3143.76
O0000476,123abc,not_a_date,invalid,nan
N/A,invalid,1,###BAD###,not_a_date
O0000478, ,not_a_date,nan,1464.43
9999-99-99,P00041,1,2934.25,2934.25
9999-99-99,P00236,1,9999-99-99,###BAD###
O0000479,P00048,3,4008.05,null
O0000480,P00111,1,nan,621.5
not_a_date,P00129,1,245.45,245.45
N/A,P00084,123abc,884.14,32-13-2025
nan,P00108,1,not_a_date,1601.4
9999-99-99,,1, ,209.92
O0000485,null,32-13-2025,123abc,not_a_date
###BAD###,P00002,1,nan,1627.65
O0000486,P00020,9999-99-99,2030.93,2030.93
O0000487,P00007,2,2750.6,5501.2
O0000488,,###BAD###,NULL,3169.58
32-13-2025,P00134,9999-99-99,9999-99-99,2017.03
nan,P00217,2,###BAD###,6775.02
O0000489,P00136,N/A,3344.38,3344.38
O0000490,P00160,###BAD###,2922.25,123abc
 ,@@@,1,not_a_date,2101.49
N/A,P00186,1,2399.34,2399.34
O0000492, ,,,N/A
O0000493,P00215,9999-99-99,9999-99-99,invalid
O0000494,P00289,1,2868.61,2868.61
O0000495,P00175,null,284.28,N/A
